Date,Interest
2004-01,0.0
2004-02,0.0
2004-03,0.0
2004-04,0.0
2004-05,0.0
2004-06,0.0
2004-07,0.0
2004-08,0.0
2004-09,0.0
2004-10,0.0
2004-11,0.0
2004-12,0.0
2005-01,0.0
2005-02,0.0
2005-03,0.0
2005-04,0.0
2005-05,0.0
2005-06,0.0
2005-07,0.0
2005-08,0.0
2005-09,0.0
2005-10,0.0
2005-11,0.0
2005-12,0.0
2006-01,0.0
2006-02,0.0
2006-03,0.0
2006-04,0.0
2006-05,0.0
2006-06,0.0
2006-07,0.0
2006-08,0.0
2006-09,0.0
2006-10,0.0
2006-11,0.0
2006-12,0.0
2007-01,0.0
2007-02,0.0
2007-03,0.0
2007-04,0.0
2007-05,0.0
2007-06,0.0
2007-07,0.0
2007-08,0.0
2007-09,0.0
2007-10,0.0
2007-11,0.0
2007-12,0.0
2008-01,0.0
2008-02,0.0
2008-03,0.0
2008-04,0.0
2008-05,0.0
2008-06,0.0
2008-07,0.0
2008-08,0.0
2008-09,0.0
2008-10,0.0
2008-11,0.0
2008-12,0.0
2009-01,0.0
2009-02,0.0
2009-03,0.0
2009-04,0.0
2009-05,0.0
2009-06,0.0
2009-07,0.0
2009-08,0.0
2009-09,0.0
2009-10,0.0
2009-11,0.0
2009-12,0.0
2010-01,0.0
2010-02,0.0
2010-03,0.0
2010-04,0.0
2010-05,0.0
2010-06,0.0
2010-07,0.0
2010-08,0.0
2010-09,0.0
2010-10,0.0
2010-11,0.0
2010-12,0.0
2011-01,9.0
2011-02,22.0
2011-03,37.0
2011-04,45.0
2011-05,35.0
2011-06,18.0
2011-07,23.0
2011-08,18.0
2011-09,17.0
2011-10,13.0
2011-11,17.0
2011-12,14.0
2012-01,12.0
2012-02,15.0
2012-03,27.0
2012-04,39.0
2012-05,49.0
2012-06,28.0
2012-07,28.0
2012-08,17.0
2012-09,18.0
2012-10,15.0
2012-11,13.0
2012-12,9.0
2013-01,7.0
2013-02,10.0
2013-03,16.0
2013-04,25.0
2013-05,28.0
2013-06,21.0
2013-07,14.0
2013-08,15.0
2013-09,9.0
2013-10,10.0
2013-11,10.0
2013-12,9.0
2014-01,7.0
2014-02,10.0
2014-03,13.0
2014-04,16.0
2014-05,34.0
2014-06,24.0
2014-07,23.0
2014-08,22.0
2014-09,16.0
2014-10,14.0
2014-11,15.0
2014-12,7.0
2015-01,6.0
2015-02,13.0
2015-03,23.0
2015-04,34.0
2015-05,41.0
2015-06,43.0
2015-07,34.0
2015-08,20.0
2015-09,14.0
2015-10,14.0
2015-11,20.0
2015-12,36.0
2016-01,30.0
2016-02,82.0
2016-03,100.0
2016-04,90.0
2016-05,53.0
2016-06,29.0
2016-07,22.0
2016-08,15.0
2016-09,10.0
2016-10,10.0
2016-11,13.0
2016-12,9.0
2017-01,6.0
2017-02,13.0
2017-03,18.0
2017-04,32.0
2017-05,19.0
2017-06,11.0
2017-07,10.0
2017-08,9.0
2017-09,7.0
2017-10,11.0
2017-11,15.0
2017-12,6.0
2018-01,7.0
2018-02,8.0
2018-03,14.0
2018-04,18.0
2018-05,15.0
2018-06,10.0
2018-07,11.0
2018-08,9.0
2018-09,7.0
2018-10,7.0
2018-11,14.0
2018-12,8.0
2019-01,6.0
2019-02,12.0
2019-03,17.0
2019-04,24.0
2019-05,61.0
2019-06,54.0
2019-07,47.0
2019-08,47.0
2019-09,30.0
2019-10,16.0
2019-11,12.0
2019-12,8.0
