Date,Interest
2004-01,0.0
2004-02,0.0
2004-03,0.0
2004-04,0.0
2004-05,0.0
2004-06,0.0
2004-07,59.0
2004-08,0.0
2004-09,0.0
2004-10,0.0
2004-11,0.0
2004-12,0.0
2005-01,0.0
2005-02,0.0
2005-03,0.0
2005-04,0.0
2005-05,0.0
2005-06,0.0
2005-07,0.0
2005-08,0.0
2005-09,0.0
2005-10,0.0
2005-11,0.0
2005-12,0.0
2006-01,0.0
2006-02,0.0
2006-03,0.0
2006-04,0.0
2006-05,0.0
2006-06,0.0
2006-07,0.0
2006-08,0.0
2006-09,0.0
2006-10,0.0
2006-11,0.0
2006-12,0.0
2007-01,0.0
2007-02,0.0
2007-03,0.0
2007-04,0.0
2007-05,7.0
2007-06,6.0
2007-07,7.0
2007-08,7.0
2007-09,10.0
2007-10,9.0
2007-11,11.0
2007-12,0.0
2008-01,17.0
2008-02,13.0
2008-03,28.0
2008-04,85.0
2008-05,33.0
2008-06,16.0
2008-07,8.0
2008-08,9.0
2008-09,10.0
2008-10,9.0
2008-11,11.0
2008-12,12.0
2009-01,9.0
2009-02,16.0
2009-03,36.0
2009-04,28.0
2009-05,16.0
2009-06,10.0
2009-07,7.0
2009-08,0.0
2009-09,9.0
2009-10,7.0
2009-11,9.0
2009-12,8.0
2010-01,9.0
2010-02,12.0
2010-03,16.0
2010-04,15.0
2010-05,15.0
2010-06,10.0
2010-07,11.0
2010-08,9.0
2010-09,7.0
2010-10,9.0
2010-11,9.0
2010-12,11.0
2011-01,6.0
2011-02,5.0
2011-03,11.0
2011-04,14.0
2011-05,12.0
2011-06,9.0
2011-07,7.0
2011-08,5.0
2011-09,5.0
2011-10,7.0
2011-11,8.0
2011-12,7.0
2012-01,5.0
2012-02,8.0
2012-03,10.0
2012-04,8.0
2012-05,10.0
2012-06,8.0
2012-07,9.0
2012-08,7.0
2012-09,7.0
2012-10,6.0
2012-11,7.0
2012-12,5.0
2013-01,6.0
2013-02,8.0
2013-03,9.0
2013-04,13.0
2013-05,14.0
2013-06,9.0
2013-07,7.0
2013-08,6.0
2013-09,7.0
2013-10,6.0
2013-11,7.0
2013-12,6.0
2014-01,6.0
2014-02,7.0
2014-03,7.0
2014-04,10.0
2014-05,10.0
2014-06,8.0
2014-07,8.0
2014-08,7.0
2014-09,9.0
2014-10,12.0
2014-11,10.0
2014-12,7.0
2015-01,8.0
2015-02,10.0
2015-03,14.0
2015-04,17.0
2015-05,27.0
2015-06,18.0
2015-07,27.0
2015-08,17.0
2015-09,15.0
2015-10,9.0
2015-11,13.0
2015-12,26.0
2016-01,25.0
2016-02,96.0
2016-03,100.0
2016-04,68.0
2016-05,33.0
2016-06,21.0
2016-07,15.0
2016-08,12.0
2016-09,12.0
2016-10,11.0
2016-11,13.0
2016-12,12.0
2017-01,12.0
2017-02,13.0
2017-03,13.0
2017-04,19.0
2017-05,16.0
2017-06,13.0
2017-07,12.0
2017-08,12.0
2017-09,9.0
2017-10,10.0
2017-11,11.0
2017-12,12.0
2018-01,16.0
2018-02,14.0
2018-03,13.0
2018-04,15.0
2018-05,13.0
2018-06,10.0
2018-07,11.0
2018-08,11.0
2018-09,10.0
2018-10,9.0
2018-11,13.0
2018-12,15.0
2019-01,12.0
2019-02,11.0
2019-03,15.0
2019-04,20.0
2019-05,22.0
2019-06,18.0
2019-07,17.0
2019-08,14.0
2019-09,15.0
2019-10,13.0
2019-11,11.0
2019-12,11.0
