Category: All categories

Month,mosquito da dengue: (State of Rio de Janeiro)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,15
2006-03,13
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,7
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,10
2007-11,8
2007-12,0
2008-01,0
2008-02,13
2008-03,67
2008-04,100
2008-05,23
2008-06,11
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,10
2008-12,6
2009-01,0
2009-02,16
2009-03,23
2009-04,10
2009-05,6
2009-06,9
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,6
2009-12,0
2010-01,0
2010-02,6
2010-03,9
2010-04,10
2010-05,7
2010-06,5
2010-07,0
2010-08,4
2010-09,5
2010-10,0
2010-11,4
2010-12,7
2011-01,3
2011-02,8
2011-03,19
2011-04,25
2011-05,10
2011-06,8
2011-07,4
2011-08,3
2011-09,4
2011-10,8
2011-11,9
2011-12,5
2012-01,5
2012-02,5
2012-03,9
2012-04,10
2012-05,10
2012-06,7
2012-07,3
2012-08,3
2012-09,3
2012-10,3
2012-11,4
2012-12,3
2013-01,4
2013-02,8
2013-03,13
2013-04,17
2013-05,7
2013-06,4
2013-07,2
2013-08,2
2013-09,3
2013-10,3
2013-11,5
2013-12,2
2014-01,3
2014-02,4
2014-03,4
2014-04,5
2014-05,6
2014-06,4
2014-07,3
2014-08,3
2014-09,4
2014-10,4
2014-11,5
2014-12,3
2015-01,3
2015-02,8
2015-03,16
2015-04,17
2015-05,16
2015-06,9
2015-07,4
2015-08,4
2015-09,5
2015-10,5
2015-11,9
2015-12,28
2016-01,17
2016-02,59
2016-03,45
2016-04,27
2016-05,12
2016-06,7
2016-07,4
2016-08,3
2016-09,3
2016-10,3
2016-11,5
2016-12,4
2017-01,6
2017-02,19
2017-03,13
2017-04,8
2017-05,5
2017-06,4
2017-07,2
2017-08,3
2017-09,3
2017-10,3
2017-11,4
2017-12,3
2018-01,6
2018-02,6
2018-03,7
2018-04,4
2018-05,3
2018-06,2
2018-07,2
2018-08,2
2018-09,2
2018-10,3
2018-11,3
2018-12,3
2019-01,3
2019-02,20
2019-03,9
2019-04,10
2019-05,12
2019-06,9
2019-07,3
2019-08,3
2019-09,4
2019-10,3
2019-11,4
2019-12,3
