Category: All categories

Month,mosquito da dengue: (State of Amazonas)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,92
2011-03,72
2011-04,23
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,15
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,11
2013-03,18
2013-04,12
2013-05,6
2013-06,0
2013-07,0
2013-08,0
2013-09,8
2013-10,8
2013-11,6
2013-12,0
2014-01,0
2014-02,7
2014-03,8
2014-04,8
2014-05,7
2014-06,6
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,11
2014-12,0
2015-01,0
2015-02,13
2015-03,12
2015-04,12
2015-05,14
2015-06,0
2015-07,11
2015-08,11
2015-09,0
2015-10,0
2015-11,11
2015-12,23
2016-01,15
2016-02,100
2016-03,62
2016-04,26
2016-05,13
2016-06,10
2016-07,0
2016-08,0
2016-09,0
2016-10,6
2016-11,12
2016-12,8
2017-01,0
2017-02,9
2017-03,13
2017-04,13
2017-05,6
2017-06,6
2017-07,7
2017-08,0
2017-09,6
2017-10,0
2017-11,9
2017-12,0
2018-01,0
2018-02,11
2018-03,8
2018-04,8
2018-05,6
2018-06,7
2018-07,0
2018-08,7
2018-09,7
2018-10,0
2018-11,0
2018-12,8
2019-01,0
2019-02,9
2019-03,7
2019-04,9
2019-05,6
2019-06,9
2019-07,0
2019-08,0
2019-09,0
2019-10,7
2019-11,9
2019-12,0
