Category: All categories

Month,mosquito: (State of Bahia)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,29
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,13
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,9
2006-12,0
2007-01,9
2007-02,0
2007-03,7
2007-04,0
2007-05,7
2007-06,0
2007-07,6
2007-08,11
2007-09,9
2007-10,7
2007-11,11
2007-12,0
2008-01,17
2008-02,13
2008-03,28
2008-04,88
2008-05,36
2008-06,13
2008-07,7
2008-08,7
2008-09,7
2008-10,9
2008-11,11
2008-12,8
2009-01,9
2009-02,12
2009-03,35
2009-04,27
2009-05,19
2009-06,12
2009-07,6
2009-08,7
2009-09,0
2009-10,7
2009-11,10
2009-12,7
2010-01,9
2010-02,14
2010-03,13
2010-04,17
2010-05,17
2010-06,10
2010-07,10
2010-08,9
2010-09,7
2010-10,11
2010-11,9
2010-12,7
2011-01,5
2011-02,5
2011-03,10
2011-04,15
2011-05,12
2011-06,10
2011-07,8
2011-08,6
2011-09,6
2011-10,7
2011-11,8
2011-12,7
2012-01,5
2012-02,8
2012-03,10
2012-04,8
2012-05,10
2012-06,8
2012-07,10
2012-08,7
2012-09,7
2012-10,6
2012-11,7
2012-12,5
2013-01,7
2013-02,7
2013-03,10
2013-04,13
2013-05,14
2013-06,9
2013-07,7
2013-08,6
2013-09,7
2013-10,6
2013-11,7
2013-12,6
2014-01,6
2014-02,7
2014-03,8
2014-04,11
2014-05,10
2014-06,8
2014-07,8
2014-08,7
2014-09,9
2014-10,13
2014-11,10
2014-12,8
2015-01,8
2015-02,10
2015-03,14
2015-04,17
2015-05,27
2015-06,17
2015-07,28
2015-08,17
2015-09,15
2015-10,9
2015-11,14
2015-12,27
2016-01,26
2016-02,97
2016-03,100
2016-04,71
2016-05,33
2016-06,21
2016-07,16
2016-08,12
2016-09,12
2016-10,11
2016-11,13
2016-12,12
2017-01,12
2017-02,13
2017-03,13
2017-04,19
2017-05,17
2017-06,14
2017-07,12
2017-08,12
2017-09,9
2017-10,10
2017-11,11
2017-12,12
2018-01,16
2018-02,14
2018-03,13
2018-04,15
2018-05,13
2018-06,11
2018-07,11
2018-08,11
2018-09,11
2018-10,9
2018-11,13
2018-12,15
2019-01,13
2019-02,12
2019-03,16
2019-04,21
2019-05,23
2019-06,19
2019-07,17
2019-08,14
2019-09,15
2019-10,13
2019-11,11
2019-12,12
