Category: All categories

Month,mosquito: (Piauí)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,100
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,12
2011-03,20
2011-04,19
2011-05,15
2011-06,13
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,9
2011-12,9
2012-01,9
2012-02,0
2012-03,14
2012-04,10
2012-05,6
2012-06,0
2012-07,9
2012-08,0
2012-09,0
2012-10,7
2012-11,7
2012-12,0
2013-01,8
2013-02,11
2013-03,10
2013-04,9
2013-05,13
2013-06,10
2013-07,0
2013-08,0
2013-09,0
2013-10,7
2013-11,7
2013-12,7
2014-01,6
2014-02,9
2014-03,13
2014-04,7
2014-05,10
2014-06,11
2014-07,13
2014-08,5
2014-09,0
2014-10,7
2014-11,7
2014-12,0
2015-01,8
2015-02,11
2015-03,15
2015-04,20
2015-05,16
2015-06,13
2015-07,5
2015-08,7
2015-09,8
2015-10,9
2015-11,10
2015-12,21
2016-01,26
2016-02,93
2016-03,85
2016-04,52
2016-05,31
2016-06,22
2016-07,10
2016-08,7
2016-09,9
2016-10,7
2016-11,10
2016-12,6
2017-01,16
2017-02,18
2017-03,26
2017-04,22
2017-05,15
2017-06,14
2017-07,10
2017-08,8
2017-09,7
2017-10,11
2017-11,9
2017-12,9
2018-01,15
2018-02,15
2018-03,12
2018-04,19
2018-05,10
2018-06,8
2018-07,9
2018-08,9
2018-09,7
2018-10,7
2018-11,12
2018-12,9
2019-01,12
2019-02,14
2019-03,17
2019-04,23
2019-05,17
2019-06,15
2019-07,10
2019-08,8
2019-09,9
2019-10,8
2019-11,8
2019-12,8
