Date,Interest
2004-01,0.0
2004-02,0.0
2004-03,0.0
2004-04,0.0
2004-05,0.0
2004-06,0.0
2004-07,0.0
2004-08,0.0
2004-09,0.0
2004-10,0.0
2004-11,0.0
2004-12,0.0
2005-01,0.0
2005-02,0.0
2005-03,0.0
2005-04,0.0
2005-05,0.0
2005-06,0.0
2005-07,0.0
2005-08,0.0
2005-09,0.0
2005-10,20.0
2005-11,0.0
2005-12,0.0
2006-01,0.0
2006-02,0.0
2006-03,0.0
2006-04,0.0
2006-05,0.0
2006-06,0.0
2006-07,0.0
2006-08,0.0
2006-09,0.0
2006-10,0.0
2006-11,9.0
2006-12,8.0
2007-01,8.0
2007-02,14.0
2007-03,22.0
2007-04,19.0
2007-05,16.0
2007-06,7.0
2007-07,0.0
2007-08,0.0
2007-09,8.0
2007-10,11.0
2007-11,15.0
2007-12,8.0
2008-01,14.0
2008-02,10.0
2008-03,19.0
2008-04,63.0
2008-05,15.0
2008-06,11.0
2008-07,8.0
2008-08,8.0
2008-09,6.0
2008-10,8.0
2008-11,8.0
2008-12,8.0
2009-01,7.0
2009-02,11.0
2009-03,16.0
2009-04,11.0
2009-05,12.0
2009-06,7.0
2009-07,5.0
2009-08,8.0
2009-09,6.0
2009-10,7.0
2009-11,15.0
2009-12,8.0
2010-01,9.0
2010-02,12.0
2010-03,20.0
2010-04,25.0
2010-05,11.0
2010-06,11.0
2010-07,17.0
2010-08,9.0
2010-09,9.0
2010-10,9.0
2010-11,8.0
2010-12,9.0
2011-01,10.0
2011-02,20.0
2011-03,19.0
2011-04,16.0
2011-05,10.0
2011-06,6.0
2011-07,4.0
2011-08,7.0
2011-09,7.0
2011-10,7.0
2011-11,8.0
2011-12,10.0
2012-01,8.0
2012-02,9.0
2012-03,11.0
2012-04,9.0
2012-05,6.0
2012-06,7.0
2012-07,4.0
2012-08,6.0
2012-09,6.0
2012-10,7.0
2012-11,9.0
2012-12,8.0
2013-01,11.0
2013-02,17.0
2013-03,18.0
2013-04,20.0
2013-05,9.0
2013-06,7.0
2013-07,6.0
2013-08,5.0
2013-09,7.0
2013-10,10.0
2013-11,12.0
2013-12,10.0
2014-01,11.0
2014-02,11.0
2014-03,13.0
2014-04,14.0
2014-05,15.0
2014-06,9.0
2014-07,7.0
2014-08,8.0
2014-09,8.0
2014-10,10.0
2014-11,12.0
2014-12,10.0
2015-01,15.0
2015-02,16.0
2015-03,24.0
2015-04,25.0
2015-05,19.0
2015-06,12.0
2015-07,9.0
2015-08,11.0
2015-09,11.0
2015-10,12.0
2015-11,17.0
2015-12,46.0
2016-01,52.0
2016-02,100.0
2016-03,76.0
2016-04,46.0
2016-05,18.0
2016-06,12.0
2016-07,8.0
2016-08,9.0
2016-09,12.0
2016-10,13.0
2016-11,16.0
2016-12,14.0
2017-01,19.0
2017-02,19.0
2017-03,17.0
2017-04,13.0
2017-05,13.0
2017-06,10.0
2017-07,8.0
2017-08,9.0
2017-09,14.0
2017-10,15.0
2017-11,14.0
2017-12,15.0
2018-01,26.0
2018-02,19.0
2018-03,16.0
2018-04,18.0
2018-05,11.0
2018-06,9.0
2018-07,9.0
2018-08,9.0
2018-09,11.0
2018-10,14.0
2018-11,17.0
2018-12,17.0
2019-01,23.0
2019-02,20.0
2019-03,28.0
2019-04,22.0
2019-05,20.0
2019-06,15.0
2019-07,10.0
2019-08,10.0
2019-09,12.0
2019-10,14.0
2019-11,18.0
2019-12,22.0
