Date,Interest
2004-01,0.0
2004-02,0.0
2004-03,0.0
2004-04,0.0
2004-05,0.0
2004-06,0.0
2004-07,0.0
2004-08,0.0
2004-09,0.0
2004-10,0.0
2004-11,0.0
2004-12,0.0
2005-01,0.0
2005-02,0.0
2005-03,0.0
2005-04,0.0
2005-05,0.0
2005-06,0.0
2005-07,0.0
2005-08,0.0
2005-09,0.0
2005-10,0.0
2005-11,0.0
2005-12,0.0
2006-01,0.0
2006-02,0.0
2006-03,0.0
2006-04,0.0
2006-05,0.0
2006-06,0.0
2006-07,0.0
2006-08,0.0
2006-09,0.0
2006-10,0.0
2006-11,0.0
2006-12,0.0
2007-01,0.0
2007-02,0.0
2007-03,23.0
2007-04,0.0
2007-05,0.0
2007-06,0.0
2007-07,0.0
2007-08,0.0
2007-09,0.0
2007-10,18.0
2007-11,18.0
2007-12,0.0
2008-01,24.0
2008-02,19.0
2008-03,37.0
2008-04,100.0
2008-05,33.0
2008-06,17.0
2008-07,0.0
2008-08,0.0
2008-09,0.0
2008-10,0.0
2008-11,28.0
2008-12,0.0
2009-01,19.0
2009-02,39.0
2009-03,39.0
2009-04,24.0
2009-05,15.0
2009-06,0.0
2009-07,0.0
2009-08,0.0
2009-09,0.0
2009-10,12.0
2009-11,22.0
2009-12,42.0
2010-01,74.0
2010-02,43.0
2010-03,34.0
2010-04,18.0
2010-05,16.0
2010-06,0.0
2010-07,0.0
2010-08,0.0
2010-09,15.0
2010-10,14.0
2010-11,20.0
2010-12,20.0
2011-01,15.0
2011-02,19.0
2011-03,28.0
2011-04,16.0
2011-05,10.0
2011-06,9.0
2011-07,4.0
2011-08,6.0
2011-09,5.0
2011-10,8.0
2011-11,12.0
2011-12,7.0
2012-01,7.0
2012-02,11.0
2012-03,10.0
2012-04,8.0
2012-05,9.0
2012-06,9.0
2012-07,5.0
2012-08,6.0
2012-09,4.0
2012-10,6.0
2012-11,11.0
2012-12,12.0
2013-01,20.0
2013-02,23.0
2013-03,21.0
2013-04,19.0
2013-05,10.0
2013-06,8.0
2013-07,6.0
2013-08,6.0
2013-09,5.0
2013-10,6.0
2013-11,10.0
2013-12,7.0
2014-01,5.0
2014-02,9.0
2014-03,12.0
2014-04,10.0
2014-05,11.0
2014-06,6.0
2014-07,7.0
2014-08,6.0
2014-09,9.0
2014-10,11.0
2014-11,13.0
2014-12,7.0
2015-01,6.0
2015-02,8.0
2015-03,14.0
2015-04,17.0
2015-05,17.0
2015-06,11.0
2015-07,5.0
2015-08,6.0
2015-09,6.0
2015-10,7.0
2015-11,10.0
2015-12,15.0
2016-01,25.0
2016-02,71.0
2016-03,59.0
2016-04,40.0
2016-05,17.0
2016-06,12.0
2016-07,8.0
2016-08,5.0
2016-09,7.0
2016-10,7.0
2016-11,9.0
2016-12,12.0
2017-01,14.0
2017-02,14.0
2017-03,19.0
2017-04,18.0
2017-05,10.0
2017-06,7.0
2017-07,2.0
2017-08,5.0
2017-09,5.0
2017-10,6.0
2017-11,11.0
2017-12,6.0
2018-01,6.0
2018-02,9.0
2018-03,8.0
2018-04,10.0
2018-05,9.0
2018-06,6.0
2018-07,4.0
2018-08,4.0
2018-09,5.0
2018-10,5.0
2018-11,10.0
2018-12,7.0
2019-01,5.0
2019-02,9.0
2019-03,10.0
2019-04,11.0
2019-05,9.0
2019-06,8.0
2019-07,6.0
2019-08,7.0
2019-09,6.0
2019-10,6.0
2019-11,10.0
2019-12,11.0
