Date,Interest
2004-01,0.0
2004-02,0.0
2004-03,0.0
2004-04,0.0
2004-05,0.0
2004-06,0.0
2004-07,0.0
2004-08,0.0
2004-09,0.0
2004-10,0.0
2004-11,0.0
2004-12,0.0
2005-01,0.0
2005-02,0.0
2005-03,0.0
2005-04,0.0
2005-05,0.0
2005-06,0.0
2005-07,0.0
2005-08,0.0
2005-09,0.0
2005-10,0.0
2005-11,0.0
2005-12,0.0
2006-01,0.0
2006-02,0.0
2006-03,0.0
2006-04,0.0
2006-05,0.0
2006-06,0.0
2006-07,0.0
2006-08,0.0
2006-09,0.0
2006-10,0.0
2006-11,0.0
2006-12,0.0
2007-01,0.0
2007-02,0.0
2007-03,0.0
2007-04,0.0
2007-05,0.0
2007-06,0.0
2007-07,0.0
2007-08,45.0
2007-09,0.0
2007-10,0.0
2007-11,0.0
2007-12,0.0
2008-01,0.0
2008-02,0.0
2008-03,0.0
2008-04,42.0
2008-05,0.0
2008-06,0.0
2008-07,0.0
2008-08,0.0
2008-09,0.0
2008-10,0.0
2008-11,0.0
2008-12,0.0
2009-01,0.0
2009-02,0.0
2009-03,45.0
2009-04,0.0
2009-05,0.0
2009-06,0.0
2009-07,0.0
2009-08,0.0
2009-09,0.0
2009-10,0.0
2009-11,0.0
2009-12,0.0
2010-01,0.0
2010-02,48.0
2010-03,0.0
2010-04,0.0
2010-05,0.0
2010-06,0.0
2010-07,37.0
2010-08,0.0
2010-09,0.0
2010-10,0.0
2010-11,0.0
2010-12,0.0
2011-01,13.0
2011-02,27.0
2011-03,32.0
2011-04,29.0
2011-05,17.0
2011-06,14.0
2011-07,8.0
2011-08,0.0
2011-09,12.0
2011-10,13.0
2011-11,13.0
2011-12,13.0
2012-01,14.0
2012-02,13.0
2012-03,15.0
2012-04,14.0
2012-05,9.0
2012-06,11.0
2012-07,13.0
2012-08,13.0
2012-09,12.0
2012-10,10.0
2012-11,11.0
2012-12,12.0
2013-01,36.0
2013-02,55.0
2013-03,32.0
2013-04,28.0
2013-05,15.0
2013-06,10.0
2013-07,9.0
2013-08,5.0
2013-09,7.0
2013-10,11.0
2013-11,16.0
2013-12,11.0
2014-01,16.0
2014-02,15.0
2014-03,16.0
2014-04,9.0
2014-05,10.0
2014-06,12.0
2014-07,8.0
2014-08,10.0
2014-09,9.0
2014-10,20.0
2014-11,14.0
2014-12,15.0
2015-01,10.0
2015-02,19.0
2015-03,29.0
2015-04,27.0
2015-05,26.0
2015-06,19.0
2015-07,9.0
2015-08,14.0
2015-09,14.0
2015-10,15.0
2015-11,28.0
2015-12,59.0
2016-01,55.0
2016-02,100.0
2016-03,98.0
2016-04,53.0
2016-05,25.0
2016-06,18.0
2016-07,12.0
2016-08,15.0
2016-09,18.0
2016-10,14.0
2016-11,17.0
2016-12,17.0
2017-01,19.0
2017-02,16.0
2017-03,24.0
2017-04,20.0
2017-05,21.0
2017-06,16.0
2017-07,13.0
2017-08,15.0
2017-09,13.0
2017-10,15.0
2017-11,25.0
2017-12,19.0
2018-01,28.0
2018-02,16.0
2018-03,21.0
2018-04,18.0
2018-05,13.0
2018-06,14.0
2018-07,14.0
2018-08,18.0
2018-09,15.0
2018-10,21.0
2018-11,23.0
2018-12,19.0
2019-01,16.0
2019-02,24.0
2019-03,55.0
2019-04,53.0
2019-05,33.0
2019-06,22.0
2019-07,15.0
2019-08,18.0
2019-09,18.0
2019-10,18.0
2019-11,17.0
2019-12,23.0
