Date,Interest
jan. 2004,0
fev. 2004,0
mar. 2004,0
abr. 2004,0
mai. 2004,0
jun. 2004,0
jul. 2004,0
ago. 2004,0
set. 2004,0
out. 2004,0
nov. 2004,0
dez. 2004,0
jan. 2005,0
fev. 2005,0
mar. 2005,0
abr. 2005,0
mai. 2005,0
jun. 2005,0
jul. 2005,0
ago. 2005,0
set. 2005,0
out. 2005,0
nov. 2005,0
dez. 2005,0
jan. 2006,0
fev. 2006,0
mar. 2006,0
abr. 2006,0
mai. 2006,0
jun. 2006,0
jul. 2006,0
ago. 2006,0
set. 2006,0
out. 2006,0
nov. 2006,0
dez. 2006,0
jan. 2007,0
fev. 2007,0
mar. 2007,0
abr. 2007,0
mai. 2007,0
jun. 2007,0
jul. 2007,0
ago. 2007,0
set. 2007,0
out. 2007,0
nov. 2007,0
dez. 2007,0
jan. 2008,0
fev. 2008,0
mar. 2008,0
abr. 2008,0
mai. 2008,0
jun. 2008,0
jul. 2008,0
ago. 2008,0
set. 2008,0
out. 2008,0
nov. 2008,0
dez. 2008,0
jan. 2009,0
fev. 2009,0
mar. 2009,0
abr. 2009,0
mai. 2009,0
jun. 2009,0
jul. 2009,0
ago. 2009,0
set. 2009,0
out. 2009,0
nov. 2009,0
dez. 2009,0
jan. 2010,0
fev. 2010,0
mar. 2010,0
abr. 2010,0
mai. 2010,0
jun. 2010,0
jul. 2010,0
ago. 2010,0
set. 2010,0
out. 2010,0
nov. 2010,0
dez. 2010,0
jan. 2011,0
fev. 2011,0
mar. 2011,13
abr. 2011,17
mai. 2011,11
jun. 2011,0
jul. 2011,0
ago. 2011,0
set. 2011,0
out. 2011,0
nov. 2011,8
dez. 2011,0
jan. 2012,0
fev. 2012,0
mar. 2012,0
abr. 2012,8
mai. 2012,8
jun. 2012,0
jul. 2012,9
ago. 2012,8
set. 2012,9
out. 2012,0
nov. 2012,6
dez. 2012,0
jan. 2013,0
fev. 2013,8
mar. 2013,7
abr. 2013,14
mai. 2013,20
jun. 2013,11
jul. 2013,5
ago. 2013,6
set. 2013,5
out. 2013,0
nov. 2013,0
dez. 2013,0
jan. 2014,0
fev. 2014,3
mar. 2014,4
abr. 2014,4
mai. 2014,6
jun. 2014,3
jul. 2014,3
ago. 2014,5
set. 2014,0
out. 2014,0
nov. 2014,0
dez. 2014,0
jan. 2015,0
fev. 2015,7
mar. 2015,16
abr. 2015,10
mai. 2015,17
jun. 2015,10
jul. 2015,12
ago. 2015,7
set. 2015,8
out. 2015,6
nov. 2015,10
dez. 2015,24
jan. 2016,23
fev. 2016,100
mar. 2016,94
abr. 2016,61
mai. 2016,33
jun. 2016,15
jul. 2016,9
ago. 2016,14
set. 2016,10
out. 2016,8
nov. 2016,5
dez. 2016,4
jan. 2017,6
fev. 2017,9
mar. 2017,22
abr. 2017,33
mai. 2017,17
jun. 2017,6
jul. 2017,7
ago. 2017,6
set. 2017,6
out. 2017,6
nov. 2017,7
dez. 2017,4
jan. 2018,0
fev. 2018,8
mar. 2018,11
abr. 2018,10
mai. 2018,13
jun. 2018,5
jul. 2018,8
ago. 2018,5
set. 2018,6
out. 2018,7
nov. 2018,5
dez. 2018,0
jan. 2019,6
fev. 2019,7
mar. 2019,14
abr. 2019,8
mai. 2019,13
jun. 2019,11
jul. 2019,9
ago. 2019,9
set. 2019,9
out. 2019,4
nov. 2019,7
dez. 2019,3
