Date,Interest
jan. 2004,0
fev. 2004,0
mar. 2004,0
abr. 2004,0
mai. 2004,0
jun. 2004,0
jul. 2004,0
ago. 2004,0
set. 2004,0
out. 2004,0
nov. 2004,0
dez. 2004,0
jan. 2005,0
fev. 2005,0
mar. 2005,0
abr. 2005,23
mai. 2005,0
jun. 2005,0
jul. 2005,0
ago. 2005,0
set. 2005,0
out. 2005,8
nov. 2005,10
dez. 2005,0
jan. 2006,0
fev. 2006,0
mar. 2006,6
abr. 2006,8
mai. 2006,8
jun. 2006,8
jul. 2006,7
ago. 2006,6
set. 2006,3
out. 2006,4
nov. 2006,6
dez. 2006,0
jan. 2007,0
fev. 2007,4
mar. 2007,6
abr. 2007,8
mai. 2007,10
jun. 2007,6
jul. 2007,5
ago. 2007,7
set. 2007,5
out. 2007,7
nov. 2007,9
dez. 2007,5
jan. 2008,4
fev. 2008,7
mar. 2008,22
abr. 2008,100
mai. 2008,54
jun. 2008,20
jul. 2008,5
ago. 2008,3
set. 2008,5
out. 2008,7
nov. 2008,8
dez. 2008,0
jan. 2009,4
fev. 2009,8
mar. 2009,14
abr. 2009,14
mai. 2009,15
jun. 2009,6
jul. 2009,3
ago. 2009,4
set. 2009,3
out. 2009,4
nov. 2009,3
dez. 2009,0
jan. 2010,2
fev. 2010,6
mar. 2010,10
abr. 2010,9
mai. 2010,10
jun. 2010,9
jul. 2010,9
ago. 2010,5
set. 2010,5
out. 2010,3
nov. 2010,6
dez. 2010,4
jan. 2011,4
fev. 2011,7
mar. 2011,11
abr. 2011,12
mai. 2011,9
jun. 2011,7
jul. 2011,5
ago. 2011,5
set. 2011,4
out. 2011,4
nov. 2011,5
dez. 2011,5
jan. 2012,6
fev. 2012,9
mar. 2012,14
abr. 2012,11
mai. 2012,8
jun. 2012,6
jul. 2012,4
ago. 2012,4
set. 2012,4
out. 2012,3
nov. 2012,3
dez. 2012,2
jan. 2013,2
fev. 2013,3
mar. 2013,5
abr. 2013,7
mai. 2013,7
jun. 2013,5
jul. 2013,3
ago. 2013,3
set. 2013,3
out. 2013,2
nov. 2013,3
dez. 2013,2
jan. 2014,2
fev. 2014,3
mar. 2014,3
abr. 2014,4
mai. 2014,6
jun. 2014,5
jul. 2014,3
ago. 2014,3
set. 2014,3
out. 2014,3
nov. 2014,3
dez. 2014,3
jan. 2015,3
fev. 2015,6
mar. 2015,17
abr. 2015,25
mai. 2015,19
jun. 2015,10
jul. 2015,5
ago. 2015,4
set. 2015,4
out. 2015,4
nov. 2015,9
dez. 2015,20
jan. 2016,17
fev. 2016,51
mar. 2016,38
abr. 2016,19
mai. 2016,10
jun. 2016,6
jul. 2016,3
ago. 2016,3
set. 2016,3
out. 2016,3
nov. 2016,3
dez. 2016,2
jan. 2017,2
fev. 2017,3
mar. 2017,5
abr. 2017,4
mai. 2017,4
jun. 2017,3
jul. 2017,2
ago. 2017,3
set. 2017,3
out. 2017,3
nov. 2017,3
dez. 2017,2
jan. 2018,2
fev. 2018,3
mar. 2018,4
abr. 2018,5
mai. 2018,5
jun. 2018,3
jul. 2018,3
ago. 2018,3
set. 2018,3
out. 2018,2
nov. 2018,3
dez. 2018,2
jan. 2019,2
fev. 2019,4
mar. 2019,5
abr. 2019,9
mai. 2019,11
jun. 2019,11
jul. 2019,7
ago. 2019,7
set. 2019,6
out. 2019,4
nov. 2019,4
dez. 2019,3
