Date,Interest
2004-01,4
2004-02,5
2004-03,5
2004-04,5
2004-05,7
2004-06,5
2004-07,0
2004-08,3
2004-09,0
2004-10,4
2004-11,11
2004-12,3
2005-01,3
2005-02,5
2005-03,5
2005-04,6
2005-05,5
2005-06,5
2005-07,2
2005-08,5
2005-09,4
2005-10,5
2005-11,9
2005-12,4
2006-01,6
2006-02,11
2006-03,13
2006-04,10
2006-05,8
2006-06,4
2006-07,3
2006-08,3
2006-09,3
2006-10,4
2006-11,6
2006-12,4
2007-01,4
2007-02,7
2007-03,12
2007-04,13
2007-05,11
2007-06,7
2007-07,4
2007-08,4
2007-09,5
2007-10,8
2007-11,11
2007-12,6
2008-01,11
2008-02,16
2008-03,70
2008-04,100
2008-05,29
2008-06,14
2008-07,4
2008-08,4
2008-09,4
2008-10,6
2008-11,8
2008-12,6
2009-01,6
2009-02,10
2009-03,18
2009-04,10
2009-05,7
2009-06,5
2009-07,4
2009-08,3
2009-09,4
2009-10,3
2009-11,5
2009-12,3
2010-01,4
2010-02,7
2010-03,10
2010-04,11
2010-05,9
2010-06,6
2010-07,4
2010-08,4
2010-09,5
2010-10,4
2010-11,6
2010-12,5
2011-01,4
2011-02,10
2011-03,20
2011-04,26
2011-05,14
2011-06,8
2011-07,5
2011-08,4
2011-09,5
2011-10,7
2011-11,8
2011-12,6
2012-01,6
2012-02,7
2012-03,11
2012-04,13
2012-05,13
2012-06,8
2012-07,4
2012-08,3
2012-09,3
2012-10,3
2012-11,3
2012-12,3
2013-01,5
2013-02,10
2013-03,19
2013-04,22
2013-05,9
2013-06,6
2013-07,3
2013-08,2
2013-09,2
2013-10,2
2013-11,3
2013-12,2
2014-01,3
2014-02,3
2014-03,4
2014-04,5
2014-05,5
2014-06,3
2014-07,3
2014-08,3
2014-09,3
2014-10,3
2014-11,4
2014-12,2
2015-01,3
2015-02,6
2015-03,12
2015-04,17
2015-05,17
2015-06,9
2015-07,4
2015-08,4
2015-09,4
2015-10,3
2015-11,6
2015-12,14
2016-01,13
2016-02,34
2016-03,29
2016-04,23
2016-05,9
2016-06,5
2016-07,3
2016-08,2
2016-09,2
2016-10,3
2016-11,3
2016-12,3
2017-01,5
2017-02,9
2017-03,8
2017-04,5
2017-05,3
2017-06,3
2017-07,2
2017-08,2
2017-09,2
2017-10,2
2017-11,3
2017-12,2
2018-01,4
2018-02,4
2018-03,5
2018-04,4
2018-05,4
2018-06,3
2018-07,2
2018-08,2
2018-09,2
2018-10,2
2018-11,3
2018-12,3
2019-01,3
2019-02,9
2019-03,8
2019-04,11
2019-05,13
2019-06,8
2019-07,4
2019-08,3
2019-09,3
2019-10,3
2019-11,3
2019-12,3
