Date,Interest
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,20
2008-04,44
2008-05,18
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,17
2009-04,28
2009-05,19
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,23
2010-03,36
2010-04,45
2010-05,19
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,11
2011-02,11
2011-03,20
2011-04,22
2011-05,12
2011-06,10
2011-07,15
2011-08,9
2011-09,10
2011-10,9
2011-11,10
2011-12,13
2012-01,17
2012-02,15
2012-03,17
2012-04,18
2012-05,12
2012-06,11
2012-07,12
2012-08,5
2012-09,8
2012-10,7
2012-11,8
2012-12,8
2013-01,19
2013-02,39
2013-03,68
2013-04,92
2013-05,38
2013-06,29
2013-07,12
2013-08,10
2013-09,5
2013-10,6
2013-11,7
2013-12,5
2014-01,10
2014-02,12
2014-03,17
2014-04,21
2014-05,21
2014-06,15
2014-07,9
2014-08,9
2014-09,8
2014-10,7
2014-11,7
2014-12,8
2015-01,10
2015-02,14
2015-03,38
2015-04,60
2015-05,46
2015-06,27
2015-07,13
2015-08,12
2015-09,7
2015-10,9
2015-11,12
2015-12,25
2016-01,35
2016-02,97
2016-03,88
2016-04,67
2016-05,27
2016-06,11
2016-07,7
2016-08,6
2016-09,7
2016-10,5
2016-11,8
2016-12,7
2017-01,12
2017-02,11
2017-03,14
2017-04,13
2017-05,9
2017-06,7
2017-07,5
2017-08,5
2017-09,5
2017-10,7
2017-11,7
2017-12,7
2018-01,10
2018-02,9
2018-03,13
2018-04,13
2018-05,10
2018-06,6
2018-07,5
2018-08,6
2018-09,5
2018-10,7
2018-11,8
2018-12,11
2019-01,19
2019-02,32
2019-03,52
2019-04,100
2019-05,91
2019-06,42
2019-07,13
2019-08,10
2019-09,9
2019-10,9
2019-11,8
2019-12,12
