Date,Interest
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,32
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,100
2008-05,35
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,23
2011-04,23
2011-05,19
2011-06,13
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,7
2012-05,9
2012-06,9
2012-07,11
2012-08,9
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,7
2013-03,9
2013-04,11
2013-05,13
2013-06,8
2013-07,6
2013-08,7
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,5
2014-03,0
2014-04,9
2014-05,11
2014-06,0
2014-07,9
2014-08,0
2014-09,6
2014-10,0
2014-11,0
2014-12,0
2015-01,4
2015-02,7
2015-03,22
2015-04,21
2015-05,15
2015-06,9
2015-07,7
2015-08,6
2015-09,7
2015-10,5
2015-11,6
2015-12,15
2016-01,14
2016-02,62
2016-03,83
2016-04,55
2016-05,21
2016-06,10
2016-07,8
2016-08,4
2016-09,7
2016-10,0
2016-11,0
2016-12,0
2017-01,3
2017-02,8
2017-03,20
2017-04,14
2017-05,6
2017-06,6
2017-07,6
2017-08,4
2017-09,0
2017-10,4
2017-11,6
2017-12,0
2018-01,0
2018-02,8
2018-03,9
2018-04,12
2018-05,6
2018-06,5
2018-07,5
2018-08,3
2018-09,5
2018-10,0
2018-11,4
2018-12,3
2019-01,3
2019-02,7
2019-03,15
2019-04,18
2019-05,13
2019-06,11
2019-07,12
2019-08,12
2019-09,8
2019-10,4
2019-11,4
2019-12,0
