Date,Interest
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,100
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,54
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,6
2011-02,15
2011-03,22
2011-04,18
2011-05,10
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,7
2012-03,11
2012-04,0
2012-05,0
2012-06,6
2012-07,0
2012-08,0
2012-09,9
2012-10,6
2012-11,8
2012-12,0
2013-01,20
2013-02,42
2013-03,26
2013-04,18
2013-05,7
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,5
2013-11,7
2013-12,0
2014-01,5
2014-02,10
2014-03,8
2014-04,6
2014-05,0
2014-06,0
2014-07,4
2014-08,0
2014-09,0
2014-10,7
2014-11,8
2014-12,0
2015-01,0
2015-02,7
2015-03,16
2015-04,13
2015-05,15
2015-06,9
2015-07,0
2015-08,8
2015-09,0
2015-10,0
2015-11,12
2015-12,28
2016-01,26
2016-02,47
2016-03,53
2016-04,29
2016-05,12
2016-06,8
2016-07,0
2016-08,7
2016-09,4
2016-10,0
2016-11,4
2016-12,6
2017-01,6
2017-02,9
2017-03,9
2017-04,5
2017-05,8
2017-06,3
2017-07,0
2017-08,3
2017-09,0
2017-10,3
2017-11,8
2017-12,7
2018-01,4
2018-02,8
2018-03,8
2018-04,7
2018-05,0
2018-06,3
2018-07,4
2018-08,3
2018-09,0
2018-10,3
2018-11,7
2018-12,4
2019-01,0
2019-02,10
2019-03,29
2019-04,27
2019-05,14
2019-06,7
2019-07,5
2019-08,0
2019-09,5
2019-10,4
2019-11,4
2019-12,6
