Date,Interest
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,23
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,8
2005-11,10
2005-12,0
2006-01,0
2006-02,0
2006-03,6
2006-04,8
2006-05,8
2006-06,8
2006-07,7
2006-08,6
2006-09,3
2006-10,4
2006-11,6
2006-12,0
2007-01,0
2007-02,4
2007-03,6
2007-04,8
2007-05,10
2007-06,6
2007-07,5
2007-08,7
2007-09,5
2007-10,7
2007-11,9
2007-12,5
2008-01,4
2008-02,7
2008-03,22
2008-04,100
2008-05,54
2008-06,20
2008-07,5
2008-08,3
2008-09,5
2008-10,7
2008-11,8
2008-12,0
2009-01,4
2009-02,8
2009-03,14
2009-04,14
2009-05,15
2009-06,6
2009-07,3
2009-08,4
2009-09,3
2009-10,4
2009-11,3
2009-12,0
2010-01,2
2010-02,6
2010-03,10
2010-04,9
2010-05,10
2010-06,9
2010-07,9
2010-08,5
2010-09,5
2010-10,3
2010-11,6
2010-12,4
2011-01,4
2011-02,7
2011-03,11
2011-04,12
2011-05,9
2011-06,7
2011-07,5
2011-08,5
2011-09,4
2011-10,4
2011-11,5
2011-12,5
2012-01,6
2012-02,9
2012-03,14
2012-04,11
2012-05,8
2012-06,6
2012-07,4
2012-08,4
2012-09,4
2012-10,3
2012-11,3
2012-12,2
2013-01,2
2013-02,3
2013-03,5
2013-04,7
2013-05,7
2013-06,5
2013-07,3
2013-08,3
2013-09,3
2013-10,2
2013-11,3
2013-12,2
2014-01,2
2014-02,3
2014-03,3
2014-04,4
2014-05,6
2014-06,5
2014-07,3
2014-08,3
2014-09,3
2014-10,3
2014-11,3
2014-12,3
2015-01,3
2015-02,6
2015-03,17
2015-04,25
2015-05,19
2015-06,10
2015-07,5
2015-08,4
2015-09,4
2015-10,4
2015-11,9
2015-12,20
2016-01,17
2016-02,51
2016-03,38
2016-04,19
2016-05,10
2016-06,6
2016-07,3
2016-08,3
2016-09,3
2016-10,3
2016-11,3
2016-12,2
2017-01,2
2017-02,3
2017-03,5
2017-04,4
2017-05,4
2017-06,3
2017-07,2
2017-08,3
2017-09,3
2017-10,3
2017-11,3
2017-12,2
2018-01,2
2018-02,3
2018-03,4
2018-04,5
2018-05,5
2018-06,3
2018-07,3
2018-08,3
2018-09,3
2018-10,2
2018-11,3
2018-12,2
2019-01,2
2019-02,4
2019-03,5
2019-04,9
2019-05,11
2019-06,11
2019-07,7
2019-08,7
2019-09,6
2019-10,4
2019-11,4
2019-12,3
