Date,Interest
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,32
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,18
2007-04,61
2007-05,70
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,12
2007-11,13
2007-12,0
2008-01,0
2008-02,0
2008-03,30
2008-04,100
2008-05,36
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,12
2008-11,0
2008-12,11
2009-01,0
2009-02,0
2009-03,11
2009-04,9
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,11
2010-02,13
2010-03,37
2010-04,19
2010-05,0
2010-06,0
2010-07,13
2010-08,0
2010-09,0
2010-10,9
2010-11,0
2010-12,0
2011-01,7
2011-02,15
2011-03,17
2011-04,20
2011-05,10
2011-06,5
2011-07,3
2011-08,0
2011-09,2
2011-10,4
2011-11,4
2011-12,2
2012-01,6
2012-02,6
2012-03,8
2012-04,8
2012-05,8
2012-06,4
2012-07,3
2012-08,4
2012-09,2
2012-10,4
2012-11,3
2012-12,4
2013-01,8
2013-02,13
2013-03,22
2013-04,21
2013-05,8
2013-06,4
2013-07,3
2013-08,3
2013-09,2
2013-10,3
2013-11,4
2013-12,5
2014-01,6
2014-02,5
2014-03,12
2014-04,11
2014-05,9
2014-06,5
2014-07,5
2014-08,3
2014-09,3
2014-10,5
2014-11,6
2014-12,4
2015-01,8
2015-02,14
2015-03,35
2015-04,43
2015-05,25
2015-06,11
2015-07,6
2015-08,6
2015-09,4
2015-10,7
2015-11,11
2015-12,36
2016-01,35
2016-02,84
2016-03,100
2016-04,65
2016-05,18
2016-06,10
2016-07,3
2016-08,4
2016-09,4
2016-10,5
2016-11,8
2016-12,7
2017-01,14
2017-02,14
2017-03,14
2017-04,10
2017-05,6
2017-06,6
2017-07,2
2017-08,4
2017-09,5
2017-10,8
2017-11,5
2017-12,5
2018-01,10
2018-02,11
2018-03,10
2018-04,12
2018-05,8
2018-06,4
2018-07,3
2018-08,3
2018-09,4
2018-10,5
2018-11,7
2018-12,7
2019-01,11
2019-02,14
2019-03,19
2019-04,20
2019-05,21
2019-06,15
2019-07,5
2019-08,4
2019-09,4
2019-10,6
2019-11,7
2019-12,6
