Date,Interest
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,18
2007-11,0
2007-12,0
2008-01,18
2008-02,0
2008-03,45
2008-04,100
2008-05,41
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,29
2008-12,23
2009-01,13
2009-02,15
2009-03,27
2009-04,26
2009-05,30
2009-06,18
2009-07,0
2009-08,16
2009-09,10
2009-10,0
2009-11,14
2009-12,0
2010-01,0
2010-02,13
2010-03,17
2010-04,18
2010-05,11
2010-06,0
2010-07,0
2010-08,11
2010-09,0
2010-10,10
2010-11,16
2010-12,0
2011-01,6
2011-02,11
2011-03,21
2011-04,26
2011-05,21
2011-06,14
2011-07,10
2011-08,9
2011-09,7
2011-10,9
2011-11,10
2011-12,7
2012-01,6
2012-02,6
2012-03,9
2012-04,10
2012-05,8
2012-06,9
2012-07,5
2012-08,6
2012-09,5
2012-10,6
2012-11,6
2012-12,6
2013-01,12
2013-02,18
2013-03,24
2013-04,30
2013-05,17
2013-06,10
2013-07,6
2013-08,5
2013-09,5
2013-10,6
2013-11,5
2013-12,4
2014-01,9
2014-02,8
2014-03,7
2014-04,7
2014-05,9
2014-06,7
2014-07,6
2014-08,6
2014-09,5
2014-10,5
2014-11,5
2014-12,4
2015-01,3
2015-02,5
2015-03,9
2015-04,13
2015-05,17
2015-06,14
2015-07,10
2015-08,8
2015-09,8
2015-10,8
2015-11,10
2015-12,27
2016-01,21
2016-02,53
2016-03,49
2016-04,34
2016-05,15
2016-06,9
2016-07,7
2016-08,6
2016-09,5
2016-10,4
2016-11,6
2016-12,7
2017-01,7
2017-02,6
2017-03,9
2017-04,8
2017-05,6
2017-06,5
2017-07,4
2017-08,4
2017-09,3
2017-10,4
2017-11,4
2017-12,4
2018-01,4
2018-02,5
2018-03,6
2018-04,8
2018-05,8
2018-06,7
2018-07,6
2018-08,5
2018-09,4
2018-10,5
2018-11,5
2018-12,6
2019-01,9
2019-02,12
2019-03,19
2019-04,24
2019-05,34
2019-06,37
2019-07,21
2019-08,10
2019-09,8
2019-10,6
2019-11,7
2019-12,8
